,index,filename,chisquare_distance
0,1347,image_1349.jpg,2463.84
1,332,image_0333.jpg,2496.17
2,321,image_0322.jpg,2518.36
3,611,image_0612.jpg,2577.48
4,67,image_0068.jpg,2592.13
5,496,image_0497.jpg,2745.9
6,874,image_0875.jpg,2806.26
7,586,image_0587.jpg,2811.19
8,88,image_0089.jpg,2839.04
9,290,image_0291.jpg,2844.02
10,1276,image_1277.jpg,2847.74
11,315,image_0316.jpg,2850.08
12,857,image_0858.jpg,2883.69
13,1323,image_1325.jpg,2893.91
14,947,image_0948.jpg,2895.57
15,103,image_0104.jpg,2911.38
16,843,image_0844.jpg,2917.96
17,1295,image_1296.jpg,2968.97
18,590,image_0591.jpg,2989.58
19,816,image_0817.jpg,2991.12
20,362,image_0363.jpg,3023.64
21,873,image_0874.jpg,3043.76
22,1214,image_1215.jpg,3045.35
23,1235,image_1236.jpg,3051.77
24,844,image_0845.jpg,3055.85
25,83,image_0084.jpg,3077.58
26,525,image_0526.jpg,3081.58
27,854,image_0855.jpg,3119.73
28,819,image_0820.jpg,3121.66
29,74,image_0075.jpg,3152.07
30,95,image_0096.jpg,3162.15
31,110,image_0111.jpg,3166.73
32,1307,image_1308.jpg,3228.23
33,544,image_0545.jpg,3251.13
34,811,image_0812.jpg,3267.86
35,1200,image_1201.jpg,3275.25
36,100,image_0101.jpg,3326.81
37,1030,image_1031.jpg,3328.15
38,1005,image_1006.jpg,3394.87
39,1208,image_1209.jpg,3406.27
40,595,image_0596.jpg,3410.95
41,719,image_0720.jpg,3426.63
42,199,image_0200.jpg,3463.54
43,596,image_0597.jpg,3464.65
44,941,image_0942.jpg,3528.16
45,121,image_0122.jpg,3550.43
46,1197,image_1198.jpg,3558.57
47,804,image_0805.jpg,3633.25
48,206,image_0207.jpg,3646.33
49,842,image_0843.jpg,3672.0
50,851,image_0852.jpg,3674.89
51,1230,image_1231.jpg,3683.46
52,364,image_0365.jpg,3724.09
53,207,image_0208.jpg,3770.23
54,260,image_0261.jpg,3792.25
55,565,image_0566.jpg,3808.75
56,144,image_0145.jpg,3824.86
57,1257,image_1258.jpg,3834.03
58,344,image_0345.jpg,3892.57
59,534,image_0535.jpg,3907.12
60,96,image_0097.jpg,3998.22
61,363,image_0364.jpg,3999.4
62,696,image_0697.jpg,4020.94
63,460,image_0461.jpg,4047.08
64,141,image_0142.jpg,4084.74
65,937,image_0938.jpg,4095.78
66,499,image_0500.jpg,4112.62
67,893,image_0894.jpg,4168.88
68,936,image_0937.jpg,4277.63
69,909,image_0910.jpg,4279.63
70,1355,image_1357.jpg,4283.96
71,817,image_0818.jpg,4347.12
72,691,image_0692.jpg,4347.46
73,385,image_0386.jpg,4405.69
74,526,image_0527.jpg,4446.39
75,1337,image_1339.jpg,4448.8
76,556,image_0557.jpg,4462.26
77,849,image_0850.jpg,4469.4
78,198,image_0199.jpg,4472.74
79,822,image_0823.jpg,4488.55
80,1097,image_1098.jpg,4499.33
81,87,image_0088.jpg,4571.01
82,1183,image_1184.jpg,4582.83
83,451,image_0452.jpg,4609.56
84,846,image_0847.jpg,4620.36
85,1318,image_1319.jpg,4622.33
86,820,image_0821.jpg,4622.8
87,850,image_0851.jpg,4631.22
88,65,image_0066.jpg,4647.73
89,840,image_0841.jpg,4707.93
90,801,image_0802.jpg,4707.97
91,613,image_0614.jpg,4740.56
92,1352,image_1354.jpg,4760.98
93,456,image_0457.jpg,4763.83
94,39,image_0040.jpg,4781.37
95,825,image_0826.jpg,4798.19
96,800,image_0801.jpg,4805.14
97,823,image_0824.jpg,4851.45
98,94,image_0095.jpg,4886.93
99,1302,image_1303.jpg,4929.64
100,593,image_0594.jpg,4936.12
101,381,image_0382.jpg,4939.35
102,1165,image_1166.jpg,4996.25
103,1194,image_1195.jpg,5060.01
104,821,image_0822.jpg,5137.0
105,807,image_0808.jpg,5158.6
106,91,image_0092.jpg,5221.06
107,1346,image_1348.jpg,5305.3
108,1258,image_1259.jpg,5307.83
109,1186,image_1187.jpg,5311.92
110,1334,image_1336.jpg,5318.04
111,601,image_0602.jpg,5363.15
112,221,image_0222.jpg,5383.5
113,875,image_0876.jpg,5453.21
114,824,image_0825.jpg,5500.66
115,117,image_0118.jpg,5663.8
116,836,image_0837.jpg,5728.99
117,904,image_0905.jpg,5738.4
118,1013,image_1014.jpg,5769.0
119,946,image_0947.jpg,5790.82
120,815,image_0816.jpg,5845.04
121,828,image_0829.jpg,5952.42
122,374,image_0375.jpg,5965.03
123,43,image_0044.jpg,6036.68
124,1012,image_1013.jpg,6040.59
125,135,image_0136.jpg,6051.91
126,1274,image_1275.jpg,6086.82
127,1286,image_1287.jpg,6091.34
128,120,image_0121.jpg,6111.91
129,467,image_0468.jpg,6262.05
130,410,image_0411.jpg,6263.38
131,509,image_0510.jpg,6300.62
132,333,image_0334.jpg,6328.48
133,21,image_0022.jpg,6358.47
134,161,image_0162.jpg,6373.19
